Datetime,Temperature (°C),Atmospheric Pressure (kPa),Precipitation mm/h,Solar Radiation (W/m2),Vapor Pressure (kPa),Humidity (%),Wind Direction (°),Wind Speed (m/s),Hour,Day,Month
2020-12-28 04:00:00+00:00,22.400000000000002,99.69166666666666,0.0,303.1666666666667,2.328333333333333,86.14999999999999,176.48333333333335,2.921666666666667,4,28,12
2020-12-28 05:00:00+00:00,21.78333333333333,99.61333333333334,0.0,180.5,2.2516666666666665,86.38333333333333,169.15,3.09,5,28,12
2020-12-28 06:00:00+00:00,21.166666666666668,99.69333333333333,0.0,57.0,2.1766666666666667,86.7,170.04999999999998,3.1466666666666665,6,28,12
2020-12-28 07:00:00+00:00,20.066666666666666,99.81,0.187,15.833333333333334,2.091666666666667,89.21666666666665,174.46666666666667,3.355,7,28,12
2020-12-28 08:00:00+00:00,18.383333333333333,99.995,0.5609999999999999,0.5,2.02,95.60000000000001,180.76666666666665,3.4566666666666666,8,28,12
2020-12-28 09:00:00+00:00,17.983333333333334,100.125,2.941,0.0,1.9933333333333334,96.83333333333333,187.83333333333334,2.1350000000000002,9,28,12
2020-12-28 10:00:00+00:00,17.816666666666666,100.14666666666666,5.695,0.0,2.0016666666666665,98.03333333333335,153.58333333333334,1.0566666666666666,10,28,12
2020-12-28 11:00:00+00:00,17.983333333333334,100.17166666666667,2.907,0.0,2.0283333333333333,98.56666666666666,195.58333333333334,0.8883333333333333,11,28,12
2020-12-28 12:00:00+00:00,17.966666666666665,100.13499999999999,0.255,0.0,2.0416666666666665,99.28333333333335,227.88333333333333,1.9583333333333333,12,28,12
2020-12-28 13:00:00+00:00,17.866666666666667,100.05,0.0,0.0,2.02,98.81666666666666,300.6333333333333,1.3233333333333333,13,28,12
2020-12-28 14:00:00+00:00,17.733333333333334,100.03666666666668,0.0,0.0,2.0,98.66666666666667,218.11666666666667,0.965,14,28,12
2020-12-28 15:00:00+00:00,17.599999999999998,99.93333333333334,0.017,0.0,1.985,98.64999999999999,175.26666666666665,1.1816666666666666,15,28,12
2020-12-28 16:00:00+00:00,17.566666666666666,99.93666666666667,0.0,0.0,1.9799999999999998,98.51666666666667,220.5,0.8133333333333334,16,28,12
2020-12-28 17:00:00+00:00,17.95,99.90666666666668,0.0,0.0,2.023333333333333,98.48333333333333,161.06666666666666,1.0566666666666666,17,28,12
2020-12-28 18:00:00+00:00,18.066666666666666,99.90500000000002,0.0,0.3333333333333333,2.03,98.2,168.95000000000002,1.1933333333333334,18,28,12
2020-12-28 19:00:00+00:00,18.400000000000002,100.04166666666667,0.0,29.166666666666668,2.058333333333333,97.39999999999999,176.78333333333333,0.9633333333333334,19,28,12
2020-12-28 20:00:00+00:00,18.849999999999998,100.22500000000001,0.0,73.16666666666667,2.1133333333333333,97.21666666666665,213.73333333333335,1.0883333333333334,20,28,12
2020-12-28 21:00:00+00:00,18.733333333333334,100.28666666666668,0.0,93.33333333333333,2.105,97.5,185.9,1.2183333333333335,21,28,12
2020-12-28 22:00:00+00:00,19.116666666666667,100.29666666666667,0.0,116.5,2.125,96.06666666666666,218.25,0.755,22,28,12
2020-12-28 23:00:00+00:00,19.099999999999998,100.29,0.918,169.16666666666666,2.1733333333333333,98.45,258.5833333333333,1.0250000000000001,23,28,12
2020-12-29 00:00:00+00:00,19.25,100.33166666666666,0.68,158.33333333333334,2.1983333333333337,98.66666666666667,310.28333333333336,1.1316666666666666,0,29,12
2020-12-29 01:00:00+00:00,19.183333333333334,100.28333333333335,0.323,122.16666666666667,2.2016666666666667,99.01666666666667,246.33333333333334,0.995,1,29,12
2020-12-29 02:00:00+00:00,18.966666666666665,100.30166666666666,0.6970000000000001,127.16666666666667,2.1766666666666667,99.5,205.25,1.3933333333333333,2,29,12
2020-12-29 03:00:00+00:00,18.58,100.184,0.578,285.0,2.1399999999999997,99.96000000000001,166.45999999999998,2.254,3,29,12
2020-12-29 04:00:00+00:00,19.5,100.13666666666667,0.0,317.8333333333333,2.23,98.53333333333335,160.48333333333332,1.495,4,29,12
2020-12-29 05:00:00+00:00,19.366666666666667,100.21333333333332,0.0,112.16666666666667,2.115,94.43333333333334,170.8166666666667,1.97,5,29,12
2020-12-29 06:00:00+00:00,18.95,100.26166666666667,0.17,51.0,2.063333333333333,94.26666666666667,175.46666666666667,1.7683333333333333,6,29,12
2020-12-29 07:00:00+00:00,18.416666666666668,100.35166666666667,1.292,41.5,2.066666666666667,97.7,165.13333333333333,1.5383333333333333,7,29,12
2020-12-29 08:00:00+00:00,18.5,100.44666666666667,0.20400000000000001,30.166666666666668,2.0816666666666666,97.81666666666666,183.48333333333335,1.0116666666666667,8,29,12
2020-12-29 09:00:00+00:00,18.45,100.46666666666665,0.0,1.1666666666666667,2.06,97.26666666666667,255.23333333333335,0.7200000000000001,9,29,12
2020-12-29 10:00:00+00:00,18.233333333333334,100.45833333333333,0.0,0.0,2.0399999999999996,97.56666666666666,245.01666666666665,1.0166666666666668,10,29,12
2020-12-29 11:00:00+00:00,18.0,100.47833333333334,0.017,0.0,2.01,97.45,237.98333333333335,1.1266666666666667,11,29,12
2020-12-29 12:00:00+00:00,18.133333333333333,100.46999999999998,0.017,0.0,2.013333333333333,96.88333333333333,234.4,1.0433333333333332,12,29,12
2020-12-29 13:00:00+00:00,18.266666666666666,100.455,0.0,0.0,2.0399999999999996,97.38333333333333,249.1,1.2550000000000001,13,29,12
2020-12-29 14:00:00+00:00,18.2,100.43333333333334,0.0,0.0,2.026666666666667,96.98333333333333,246.9333333333333,0.855,14,29,12
2020-12-29 15:00:00+00:00,18.216666666666665,100.39666666666666,0.0,0.0,2.0366666666666666,97.43333333333334,289.98333333333335,0.6316666666666667,15,29,12
2020-12-29 16:00:00+00:00,17.96666666666667,100.39166666666667,0.0,0.0,2.0066666666666664,97.48333333333333,288.35,0.7583333333333333,16,29,12
2020-12-29 17:00:00+00:00,17.599999999999998,100.375,0.0,0.0,1.9416666666666667,96.58333333333333,276.34999999999997,0.5816666666666667,17,29,12
2020-12-29 18:00:00+00:00,17.349999999999998,100.40833333333335,0.017,1.3333333333333333,1.9066666666666665,96.36666666666667,265.53333333333336,0.5666666666666667,18,29,12
2020-12-29 19:00:00+00:00,17.650000000000002,100.46499999999999,0.034,102.16666666666667,1.9966666666666668,99.03333333333335,261.93333333333334,0.585,19,29,12
2020-12-29 20:00:00+00:00,19.21666666666667,100.52166666666666,0.0,293.6666666666667,2.225,99.95,267.31666666666666,1.2116666666666667,20,29,12
2020-12-29 21:00:00+00:00,20.583333333333332,100.56,0.0,445.6666666666667,2.316666666666667,95.61666666666667,240.9333333333333,1.3633333333333333,21,29,12
